Bin	Sequences	Proportion	Patterns	Percent Full
expected	95699.0	0.6979469788134048	7426	100.0%
expected_selfprime	26503.5	0.19329395033366154	3951	100.0%
other	4627.0	0.033745396200269846	3662	7.38059217635617%
itr_only	3347.5	0.024413813222477484	361	0.0%
snapback	2551.5	0.01860846734492944	2130	0.1567705271408975%
truncated_right	1013.0	0.007387959012507749	1040	1.4807502467917077%
truncated_left	913.5	0.006662290777814243	953	1.532567049808429%
snapback_selfprime	890.5	0.00649454837180469	900	0.0%
truncated_selfprime	510.0	0.003719505524559676	514	0.7843137254901961%
irregular_payload	508.0	0.003704919228384932	546	18.30708661417323%
payload_only	262.5	0.0019144513729351274	265	0.0%
extended	192.5	0.0014039310068190934	232	98.44155844155844%
doubled_payload	92.5	0.0006746161980819021	96	0.0%
truncated_sp_PPI	2.0	1.4586296174743827e-05	2	0.0%
truncated_sp_IPP	2.0	1.4586296174743827e-05	3	0.0%
Totals	137115.0	1.0000000000000002	22081


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
expected	95699.0	0.69795	7426	1.0
Subclassification	Sequence Count	Repeats	Proportion of expected	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
expected	106.0	0	0.0011076395782610058	forward_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	104.0	0	0.001086740718293817	forward_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	104.0	0	0.001086740718293817	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	103.0	0	0.0010762912883102228	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-143](+)
expected	102.5	0	0.0010710665733184256	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	102.5	0	0.0010710665733184256	forward_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	98.0	0	0.0010240441383922508	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[4-1872](+) ITR-FLIP[1-145](+)
expected	95.0	0	0.0009926958484414675	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	95.0	0	0.0009926958484414675	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	92.0	0	0.0009613475584906843	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	92.0	0	0.0009613475584906843	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	90.0	0	0.0009404486985234955	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	90.0	0	0.0009404486985234955	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	90.0	0	0.0009404486985234955	forward_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	90.0	0	0.0009404486985234955	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	86.5	0	0.0009038756935809152	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	86.5	0	0.0009038756935809152	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	86.5	0	0.0009038756935809152	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	86.5	0	0.0009038756935809152	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	83.0	0	0.0008673026886383347	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	83.0	0	0.0008673026886383347	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	82.0	0	0.0008568532586547404	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[4-1872](-) ITR-FLIP[21-165](-)
expected	75.0	0	0.0007837072487695796	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-143](+)
expected	75.0	0	0.0007837072487695796	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	75.0	0	0.0007837072487695796	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	74.5	0	0.0007784825337777824	forward_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	74.5	0	0.0007784825337777824	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	72.0	0	0.0007523589588187964	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[4-1872](-) ITR-FLIP[1-145](+)
expected	72.0	0	0.0007523589588187964	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	72.0	0	0.0007523589588187964	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	72.0	0	0.0007523589588187964	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	72.0	0	0.0007523589588187964	forward_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	71.5	0	0.0007471342438269993	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	71.5	0	0.0007471342438269993	forward_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	71.0	0	0.000741909528835202	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[23-165](-)
expected	68.0	0	0.0007105612388844188	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[23-165](-)
expected	67.0	0	0.0007001118089008245	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-142](+)
expected	62.0	0	0.0006478646589828525	forward_linear	False	False	True	I P I	ITR-FLIP[5-145](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	62.0	0	0.0006478646589828525	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[24-165](-)
expected	60.0	0	0.0006269657990156637	reverse_linear	False	False	True	I P I	ITR-FLIP[1-142](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	59.0	0	0.0006165163690320693	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-142](+)
expected	56.0	0	0.0005851680790812861	forward_linear	False	False	True	I P I	ITR-FLIP[24-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	55.0	0	0.0005747186490976917	reverse_linear	False	False	True	I P I	ITR-FLIP[1-143](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	53.0	0	0.0005538197891305029	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[5-1872](+) ITR-FLIP[1-145](+)
expected	53.0	0	0.0005538197891305029	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	53.0	0	0.0005538197891305029	forward_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	52.0	0	0.0005433703591469086	forward_linear	False	False	True	I P I	ITR-FLIP[21-161](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	51.0	0	0.0005329209291633141	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[4-1872](-) ITR-FLIP[1-145](+)
expected	51.0	0	0.0005329209291633141	forward_linear	False	False	True	I P I	ITR-FLIP[1-143](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	50.0	0	0.0005224714991797197	reverse_linear	False	False	True	I P I	ITR-FLIP[24-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	50.0	0	0.0005224714991797197	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	50.0	0	0.0005224714991797197	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	47.5	0	0.0004963479242207338	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	47.5	0	0.0004963479242207338	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	47.0	0	0.0004911232092289366	reverse_linear	False	False	True	I P I	ITR-FLIP[23-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	47.0	0	0.0004911232092289366	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[4-1872](-) ITR-FLIP[21-165](-)
expected	47.0	0	0.0004911232092289366	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-141](+)
expected	46.0	0	0.0004806737792453422	reverse_linear	False	False	True	I P I	ITR-FLIP[1-141](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	46.0	0	0.0004806737792453422	forward_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	46.0	0	0.0004806737792453422	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	45.0	0	0.00047022434926174777	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[24-165](-)
expected	44.0	0	0.00045977491927815336	forward_linear	False	False	True	I P I	ITR-FLIP[23-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	44.0	0	0.00045977491927815336	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-141](+)
expected	44.0	0	0.00045977491927815336	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[5-1872](+) ITR-FLIP[21-165](-)
expected	44.0	0	0.00045977491927815336	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	44.0	0	0.00045977491927815336	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	42.5	0	0.0004441007743027618	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	42.5	0	0.0004441007743027618	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	42.5	0	0.0004441007743027618	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	42.5	0	0.0004441007743027618	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	42.0	0	0.0004388760593109646	forward_linear	False	False	True	I P I	ITR-FLIP[1-142](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	42.0	0	0.0004388760593109646	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	42.0	0	0.0004388760593109646	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	40.5	0	0.00042320191433557297	forward_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	40.5	0	0.00042320191433557297	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	39.0	0	0.0004075277693601814	reverse_linear	False	False	True	I P I	ITR-FLIP[25-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
