Bin	Sequences	Proportion	Patterns	Percent Full
irregular_payload	9968.5	0.99685	684	100.0%
other	31.5	0.00315	34	100.0%
Totals	10000.0	1.0	718


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
irregular_payload	9968.5	0.99685	684	1.0
Subclassification	Sequence Count	Repeats	Proportion of irregular_payload	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
irregular_payload	10.0	0	0.0010031599538546422	forward_linear	True	False	True	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[5-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
irregular_payload	10.0	0	0.0010031599538546422	forward_linear	True	False	True	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[3-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
irregular_payload	10.0	0	0.0010031599538546422	forward_linear	True	False	True	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[2-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
irregular_payload	10.0	0	0.0010031599538546422	forward_linear	True	False	True	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[24-165](-)
irregular_payload	10.0	0	0.0010031599538546422	forward_linear	False	False	True	I P P I	ITR-FLIP[1-142](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
irregular_payload	9.0	0	0.0009028439584691779	forward_linear	False	False	True	I P P I	ITR-FLIP[5-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
irregular_payload	9.0	0	0.0009028439584691779	forward_linear	True	False	True	I P P I	ITR-FLIP[5-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
irregular_payload	9.0	0	0.0009028439584691779	forward_linear	True	False	True	I P P I	ITR-FLIP[2-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
irregular_payload	9.0	0	0.0009028439584691779	forward_linear	True	False	True	I P P I	ITR-FLIP[1-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[24-165](-)
irregular_payload	9.0	0	0.0009028439584691779	forward_linear	False	False	True	I P P I	ITR-FLIP[1-145](-) Payload[1-2865](+) Payload[1-2865](+) ITR-FLIP[21-164](-)
