Bin	Sequences	Proportion	Patterns	Percent Full
other	9999.0	0.9999	264	100.0%
untileable_sequences	1.0	0.0001	0	0.0%
Totals	10000.0	1.0	264


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
other	9999.0	0.9999	264	1.0
Subclassification	Sequence Count	Repeats	Proportion of other	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
other	2.0	0	0.00020002000200020003	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[4-2865](+)
other	2.0	0	0.00020002000200020003	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[2-2865](+)
other	2.0	0	0.00020002000200020003	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2864](+) Payload[5-2865](+)
other	1.5	0	0.00015001500150015003	forward_linear	False	False	True	P P P	Payload[2-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.5	0	0.00015001500150015003	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.5	0	0.00015001500150015003	reverse_linear	False	False	True	P P P	Payload[2-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	1.5	0	0.00015001500150015003	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[6-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[3-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-247](+) polyT[76-None](+) Payload[246-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-1844](+) polyA[120-None](+) Payload[1824-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[2-2865](+)
